map,encounter_method,biome,max_bst,slot_count
MAP_ROUTE101,WILD_AREA_LAND,Grassland,350,LAND_WILD_COUNT
MAP_ROUTE102,WILD_AREA_LAND,Grassland,350,LAND_WILD_COUNT
MAP_ROUTE102,WILD_AREA_WATER,Freshwater,350,WATER_WILD_COUNT
MAP_ROUTE102,WILD_AREA_FISHING,Freshwater,350,FISH_WILD_COUNT
MAP_ROUTE103,WILD_AREA_LAND,Grassland,350,LAND_WILD_COUNT
MAP_ROUTE103,WILD_AREA_WATER,Freshwater,350,WATER_WILD_COUNT
MAP_ROUTE103,WILD_AREA_FISHING,Freshwater,350,FISH_WILD_COUNT
MAP_ROUTE104,WILD_AREA_LAND,Beach and Coast,350,LAND_WILD_COUNT
MAP_ROUTE104,WILD_AREA_WATER,Freshwater,350,WATER_WILD_COUNT
MAP_ROUTE104,WILD_AREA_FISHING,Freshwater,350,FISH_WILD_COUNT
MAP_ROUTE105,WILD_AREA_WATER,Ocean,350,WATER_WILD_COUNT
MAP_ROUTE105,WILD_AREA_FISHING,Ocean,350,FISH_WILD_COUNT
MAP_ROUTE110,WILD_AREA_LAND,Beach and Coast,350,LAND_WILD_COUNT
MAP_ROUTE110,WILD_AREA_WATER,Freshwater,350,WATER_WILD_COUNT
MAP_ROUTE110,WILD_AREA_FISHING,Freshwater,350,FISH_WILD_COUNT
MAP_ROUTE111,WILD_AREA_LAND,Desert,500,LAND_WILD_COUNT
MAP_ROUTE111,WILD_AREA_WATER,Freshwater,500,WATER_WILD_COUNT
MAP_ROUTE111,WILD_AREA_ROCKS,Desert,500,ROCK_WILD_COUNT
MAP_ROUTE111,WILD_AREA_FISHING,Freshwater,500,FISH_WILD_COUNT
MAP_ROUTE112,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_ROUTE113,WILD_AREA_LAND,Volcanic,500,LAND_WILD_COUNT
MAP_ROUTE114,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_ROUTE114,WILD_AREA_WATER,Freshwater,500,WATER_WILD_COUNT
MAP_ROUTE114,WILD_AREA_ROCKS,Mountain,500,ROCK_WILD_COUNT
MAP_ROUTE114,WILD_AREA_FISHING,Freshwater,500,FISH_WILD_COUNT
MAP_ROUTE116,WILD_AREA_LAND,Grassland,500,LAND_WILD_COUNT
MAP_ROUTE117,WILD_AREA_LAND,Grassland,500,LAND_WILD_COUNT
MAP_ROUTE117,WILD_AREA_WATER,Freshwater,500,WATER_WILD_COUNT
MAP_ROUTE117,WILD_AREA_FISHING,Freshwater,500,FISH_WILD_COUNT
MAP_ROUTE118,WILD_AREA_LAND,Beach and Coast,500,LAND_WILD_COUNT
MAP_ROUTE118,WILD_AREA_WATER,Freshwater,500,WATER_WILD_COUNT
MAP_ROUTE118,WILD_AREA_FISHING,Freshwater,500,FISH_WILD_COUNT
MAP_ROUTE124,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_ROUTE124,WILD_AREA_FISHING,Ocean,600,FISH_WILD_COUNT
